"DateTime","Players","Average Players"
"2019-03-29 00:00:00",7754,
"2019-03-30 00:00:00",6767,
"2019-03-31 00:00:00",5094,
"2019-04-01 00:00:00",3917,
"2019-04-02 00:00:00",3034,
"2019-04-03 00:00:00",2588,
"2019-04-04 00:00:00",2485,
"2019-04-05 00:00:00",1975,
"2019-04-06 00:00:00",1474,
"2019-04-07 00:00:00",1175,
"2019-04-08 00:00:00",866,
"2019-04-09 00:00:00",781,
"2019-04-10 00:00:00",650,
"2019-04-11 00:00:00",579,
"2019-04-12 00:00:00",598,
"2019-04-13 00:00:00",580,
"2019-04-14 00:00:00",466,
"2019-04-15 00:00:00",370,
"2019-04-16 00:00:00",311,
"2019-04-17 00:00:00",309,
"2019-04-18 00:00:00",259,
"2019-04-19 00:00:00",338,
"2019-04-20 00:00:00",353,
"2019-04-21 00:00:00",263,
"2019-04-22 00:00:00",223,
"2019-04-23 00:00:00",166,
"2019-04-24 00:00:00",178,
"2019-04-25 00:00:00",180,
"2019-04-26 00:00:00",186,
"2019-04-27 00:00:00",209,
"2019-04-28 00:00:00",190,
"2019-04-29 00:00:00",175,
"2019-04-30 00:00:00",219,
"2019-05-01 00:00:00",227,
"2019-05-02 00:00:00",235,
"2019-05-03 00:00:00",196,
"2019-05-04 00:00:00",173,
"2019-05-05 00:00:00",131,
"2019-05-06 00:00:00",113,
"2019-05-07 00:00:00",105,
"2019-05-08 00:00:00",92,
"2019-05-09 00:00:00",101,
"2019-05-10 00:00:00",93,
"2019-05-11 00:00:00",111,
"2019-05-12 00:00:00",112,
"2019-05-13 00:00:00",81,
"2019-05-14 00:00:00",98,
"2019-05-15 00:00:00",75,
"2019-05-16 00:00:00",78,
"2019-05-17 00:00:00",83,
"2019-05-18 00:00:00",110,
"2019-05-19 00:00:00",105,
"2019-05-20 00:00:00",74,
"2019-05-21 00:00:00",74,
"2019-05-22 00:00:00",69,
"2019-05-23 00:00:00",78,
"2019-05-24 00:00:00",172,
"2019-05-25 00:00:00",211,
"2019-05-26 00:00:00",169,
"2019-05-27 00:00:00",126,
"2019-05-28 00:00:00",113,
"2019-05-29 00:00:00",103,
"2019-05-30 00:00:00",112,
"2019-05-31 00:00:00",92,
"2019-06-01 00:00:00",127,
"2019-06-02 00:00:00",110,
"2019-06-03 00:00:00",86,
"2019-06-04 00:00:00",80,
"2019-06-05 00:00:00",67,
"2019-06-06 00:00:00",82,
"2019-06-07 00:00:00",93,
"2019-06-08 00:00:00",111,
"2019-06-09 00:00:00",103,
"2019-06-10 00:00:00",86,
"2019-06-11 00:00:00",67,
"2019-06-12 00:00:00",66,
"2019-06-13 00:00:00",71,
"2019-06-14 00:00:00",2351,
"2019-06-15 00:00:00",1976,
"2019-06-16 00:00:00",1397,
"2019-06-17 00:00:00",1121,
"2019-06-18 00:00:00",1265,
"2019-06-19 00:00:00",995,
"2019-06-20 00:00:00",848,
"2019-06-21 00:00:00",757,
"2019-06-22 00:00:00",760,
"2019-06-23 00:00:00",686,
"2019-06-24 00:00:00",562,
"2019-06-25 00:00:00",644,
"2019-06-26 00:00:00",1175,
"2019-06-27 00:00:00",893,
"2019-06-28 00:00:00",984,
"2019-06-29 00:00:00",937,
"2019-06-30 00:00:00",918,
"2019-07-01 00:00:00",752,
"2019-07-02 00:00:00",638,
"2019-07-03 00:00:00",594,
