"DateTime","Final price","Historical Low"
"2021-01-27 09:02:48",61,61
"2021-02-15 18:34:46",68,61
"2021-03-27 06:05:03",60,60
"2021-04-03 06:20:10",68,60
"2021-06-23 07:10:08",57,57
"2021-06-24 16:55:27",68,57
"2021-06-24 17:38:12",57,57
"2021-07-08 20:00:30",68,57
"2021-08-30 17:32:44",54,54
"2021-09-03 17:06:49",68,54
"2021-10-22 09:05:15",57.8,54
"2021-10-29 09:10:25",68,54
"2021-11-24 18:10:28",61.2,54
"2021-12-01 18:21:34",68,54
"2021-12-22 18:10:40",61.2,54
"2021-12-22 18:11:12",61.2,54
"2022-01-05 18:59:01",68,54
"2022-01-26 16:05:03",54.4,54
"2022-02-03 18:25:22",68,54
"2022-04-18 02:05:02",61.2,54
"2022-04-23 02:05:02",68,54
"2022-06-23 17:30:03",54.4,54
"2022-06-23 17:32:09",54.4,54
"2022-07-07 17:25:40",68,54
"2022-10-10 23:05:02",54.4,54
"2022-10-17 17:23:29",68,54
"2022-11-22 18:12:42",57.8,54
"2022-11-29 18:25:18",68,54
"2022-12-22 18:22:38",57.8,54
"2022-12-22 18:34:11",57.8,54
"2023-01-05 18:25:49",68,54
"2023-01-16 18:23:27",57.8,54
"2023-01-23 18:23:36",68,54
"2023-03-16 17:25:12",57.8,54
"2023-03-23 17:25:24",68,54
"2023-05-26 11:20:03",51,51
"2023-06-02 17:02:59",68,51
"2023-06-29 17:31:10",51,51
"2023-07-13 17:25:40",68,51
"2023-09-21 17:02:54",54.4,51
"2023-09-27 17:02:52",68,51
"2023-11-06 18:23:30",51,51
"2023-11-20 18:09:39",68,51
"2023-11-21 18:14:46",51,51
"2023-11-28 18:31:28",68,51
"2023-12-21 18:12:25",51,51
"2024-01-04 18:33:06",68,51
"2024-01-26 18:02:29",47.6,47.6
"2024-02-02 18:02:25",68,47.6
"2024-03-14 17:46:00",51,47.6
"2024-03-21 17:31:30",68,47.6
"2024-05-27 17:24:01",47.6,47.6
"2024-06-03 17:23:46",68,47.6
"2024-06-27 17:54:40",47.6,47.6
"2024-07-11 17:31:12",68,47.6
"2024-11-06 10:05:02",47.6,47.6
"2024-11-12 10:05:03",68,47.6
"2024-12-12 17:05:12",40.8,40.8
"2024-12-19 17:05:12",68,40.8
"2024-12-19 20:30:22",40.8,40.8
"2025-01-02 19:01:27",68,40.8
"2025-01-26 18:01:23",47.6,40.8
"2025-02-09 18:21:23",68,40.8
"2025-03-13 17:16:17",47.6,40.8
"2025-03-20 18:01:22",68,40.8
"2025-05-20 17:01:16",47.6,40.8
"2025-05-27 17:01:15",68,40.8
"2025-06-26 18:56:16",47.6,40.8
"2025-07-10 17:11:18",68,40.8
"2025-07-22 17:01:15",47.6,40.8
"2025-07-28 17:11:16",68,40.8
"2025-09-23 17:01:13",47.6,40.8
"2025-10-06 17:11:19",68,40.8
"2025-12-04 18:01:19",47.6,40.8
"2025-12-10 10:12:41",47.6,40.8
"2025-12-10 10:12:41",,40.8
